[ 0.48545655  2.2129068   0.11680114 -1.25972866  0.68907961 -0.25434279
 -0.62572957  0.60582387  1.4952284  -0.61768701 -0.21009264  0.30023885
 -0.59379952  0.18032373  0.05389357  0.32408492 -1.22677741  1.20236688
  0.11734428 -3.41412532 -0.05170026  0.74120421  0.02956709 -0.97223591
 -0.36095193  0.34776256 -0.63115098 -0.7700354   0.74828981 -2.21453638
  1.71781294  0.29071336  1.76970037  0.38520126 -0.07774496 -0.55745807
 -2.10706516  0.26674591  0.45292738  1.02365225 -0.29264063  0.88564127
  0.00762143  0.29831229  1.14685339 -0.30838586 -0.63702131 -0.81194832
  0.46823788 -0.1199237   0.5202909  -0.11124606 -0.08620827 -1.39679452
  0.58023928  0.45488043  0.24668101  0.72358065  0.72325024 -1.77208388
  0.82        0.8         0.7         0.535       0.419       0.21
  2.2         1.98        1.8         0.89        0.67      ]

-52.958503889096235
